                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6377,                0.47855,                 1.0518,                0.90758,                0.89118,                0.93584,                0.60407,                  1.375,                0.63912,                 1.4438,             0.00038375,             0.00038375,             0.00038375
                     37,                0.63244,                0.47048,                 1.0511,                0.92039,                0.88291,                0.93055,                0.60188,                 1.3766,                0.62915,                 1.4683,               0.000359,               0.000359,               0.000359
                     38,                0.62503,                0.45613,                 1.0466,                0.89265,                0.90044,                0.93274,                0.59926,                 1.3784,                0.64264,                 1.4528,             0.00033425,             0.00033425,             0.00033425
                     39,                0.61887,                0.46026,                 1.0411,                0.91499,                0.88844,                 0.9327,                0.60694,                 1.3621,                 0.6299,                 1.4522,              0.0003095,              0.0003095,              0.0003095
                     40,                0.61124,                0.44833,                 1.0388,                0.90404,                0.89923,                0.93795,                  0.601,                 1.3802,                0.62351,                 1.4476,             0.00028475,             0.00028475,             0.00028475
                     41,                0.62696,                0.33536,                 1.0438,                0.91088,                0.88629,                 0.9377,                0.59938,                 1.3798,                0.63755,                 1.4646,                0.00026,                0.00026,                0.00026
                     42,                0.60222,                0.31393,                 1.0296,                0.91205,                0.89226,                0.93877,                0.60656,                 1.3859,                0.63689,                 1.4584,             0.00023525,             0.00023525,             0.00023525
                     43,                0.59348,                0.30984,                 1.0204,                0.89862,                  0.905,                 0.9345,                0.59916,                 1.3928,                0.64513,                 1.4688,              0.0002105,              0.0002105,              0.0002105
                     44,                0.58537,                0.30157,                 1.0178,                0.92296,                0.88925,                0.93387,                0.59791,                 1.3822,                 0.6466,                 1.4601,             0.00018575,             0.00018575,             0.00018575
                     45,                0.57407,                0.29171,                 1.0075,                0.91036,                 0.8965,                0.93301,                0.59979,                 1.3973,                0.63975,                 1.4847,               0.000161,               0.000161,               0.000161
                     46,                0.56241,                 0.2823,                 1.0029,                0.91732,                0.89207,                0.93135,                0.59862,                 1.3923,                0.64014,                 1.4784,             0.00013625,             0.00013625,             0.00013625
                     47,                0.55499,                0.27949,                0.99896,                 0.9235,                0.89762,                 0.9361,                0.60282,                 1.3981,                0.63285,                 1.4867,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.5468,                0.27322,                0.99199,                0.91268,                0.91201,                0.93874,                0.60513,                 1.3968,                0.63365,                 1.4879,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.53893,                0.26991,                0.98512,                0.92092,                0.89774,                0.93237,                0.59888,                 1.4024,                0.63273,                 1.4958,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.53227,                0.26528,                0.98685,                0.92114,                0.89453,                0.93104,                0.59979,                 1.4063,                0.63702,                 1.5054,              3.725e-05,              3.725e-05,              3.725e-05
